number,value,params_dropout_prob,params_kernel_sizes,params_lr,params_optimizer,params_out_channels
1,0.3871854690101211,0.2129868220601472,"[3, 5, 7]",1.9639959814615383e-05,SGD,"[128, 64, 32]"
4,0.5210340433650442,0.3553722315684604,"[5, 7]",5.322144055905755e-05,SGD,"[128, 64, 32]"
53,0.7219387755102041,0.38884105248684964,"[3, 7, 9]",0.0011813742535959674,RMSprop,"[128, 64, 32]"
9,0.7894168995868934,0.35506217499569126,"[3, 7, 9]",0.00019787042458785384,Adam,"[128, 64, 32]"
12,0.7918685708567752,0.4197704402339842,"[7, 7, 7]",0.0009171605577593877,RMSprop,"[128, 64, 32]"
67,0.7993171880004627,0.329441707041247,"[3, 7, 9]",0.0009018396753220314,Adam,"[128, 64, 32]"
82,0.8051010081115663,0.29958617528472065,"[3, 5, 7]",0.0002027711089908091,Adam,"[128, 64, 32]"
2,0.8086734693877551,0.2567674515306791,"[5, 7]",6.647209300209651e-05,Adam,"[128, 64, 32]"
19,0.8086734693877551,0.29397559160178055,"[3, 7, 9]",0.0003054308359214413,Adam,"[128, 64, 32]"
3,0.8087795160786041,0.3862681611280171,"[3, 7, 9]",0.0030161728757095285,RMSprop,"[128, 64, 32]"
8,0.8100925873009825,0.39805189208573766,"[5, 7]",3.740522857695499e-05,RMSprop,"[128, 64, 32]"
0,0.8165229739487204,0.3873390093105593,"[7, 7, 7]",0.006424392596470194,RMSprop,"[128, 64, 32]"
37,0.8277381083047037,0.37760057638497263,"[3, 7, 9]",0.00010075289068285824,RMSprop,"[128, 64, 32]"
79,0.8305592176413081,0.31322077636905166,"[3, 5, 7]",0.0002304977939045966,Adam,"[128, 64, 32]"
66,0.8305592176413081,0.3281806166077664,"[3, 7, 9]",6.49177363505297e-05,Adam,"[128, 64, 32]"
74,0.8305592176413081,0.293959045078986,"[5, 7]",0.00010487788836279325,Adam,"[128, 64, 32]"
73,0.8486684247915055,0.2857880536487691,"[5, 7]",0.00011049622158437678,Adam,"[128, 64, 32]"
14,0.8514748248447138,0.32029690714514014,"[7, 7, 7]",0.0013260065432185444,RMSprop,"[128, 64, 32]"
16,0.8556534679079242,0.3246587868799669,"[7, 7, 7]",0.0028733864825922764,Adam,"[128, 64, 32]"
